date,expiry,T,bates_v0,bates_kappa,bates_theta,bates_sigma_v,bates_rho,bates_lam,bates_muJ,bates_delta,bates_rmse,sabr_rmse,js_rmse
2024-01-05,2024-01-12,0.0192,0.6479,7.9421,0.0001,5.0,0.4765,0.7204,-0.7485,0.3392,0.012933,0.00917,0.020779
2024-01-05,2024-01-19,0.0383,0.6618,7.9768,0.0153,5.0,0.0261,0.4999,-0.0002,0.0994,0.007534,0.00524,0.004021
2024-01-05,2024-01-26,0.0575,0.4341,7.9986,0.4941,1.0991,0.6668,0.4977,0.034,0.0555,0.022438,0.022274,0.01813
2024-01-05,2024-02-23,0.1342,0.4051,0.9999,0.1004,1.0,0.3001,0.4999,-0.0001,0.0995,0.002719,0.002666,0.002619
2024-01-05,2024-03-29,0.23,0.2905,1.0065,0.0956,0.1028,0.1115,0.4545,-0.2087,0.6345,0.00331,0.003469,0.003469
2024-01-05,2024-06-28,0.4791,0.1022,7.9968,0.4834,1.039,0.3994,0.4999,-0.0001,0.0993,0.004421,0.002923,0.003956
2024-01-12,2024-06-28,0.46,0.3781,0.9997,0.0926,0.3429,0.1684,0.4999,-0.0001,0.0993,0.001994,0.001979,0.001972
2024-01-12,2024-02-23,0.115,0.4338,7.9764,0.0001,1.8006,-0.1843,0.5008,-0.0331,0.2847,0.00621,0.006228,0.006184
2024-01-12,2024-03-29,0.2108,0.0674,7.9925,0.3897,0.6218,-0.6018,0.5028,-0.1125,0.464,0.004878,0.004702,0.004673
2024-01-12,2024-01-26,0.0383,0.0001,8.0884,2.3802,3.0439,-0.3668,0.0041,1.4419,0.0214,0.023218,0.029692,0.0141
2024-01-12,2024-01-19,0.0192,0.3446,0.1531,0.0293,4.3802,-0.5033,0.7062,-0.2076,0.262,0.009421,0.016769,0.009337
2024-01-12,2024-02-02,0.0575,0.1689,8.0107,0.9663,5.0,-0.2827,0.4899,-0.1604,0.003,0.011086,0.008556,0.008556
2024-01-19,2024-01-26,0.0192,0.1584,8.0142,0.7476,4.7636,-0.223,1.075,-0.0844,0.2149,0.007686,0.014263,0.008417
2024-01-19,2024-02-02,0.0383,0.2287,7.9501,0.2714,4.9996,-0.1126,0.4999,-0.0011,0.0985,0.007132,0.009464,0.006976
2024-01-19,2024-02-09,0.0575,0.143,7.7851,0.5424,4.0895,-0.2115,0.4999,-0.0017,0.0983,0.003925,0.005035,0.004509
2024-01-19,2024-02-23,0.0958,0.0192,7.8506,0.7944,4.635,-0.1948,0.4926,-0.1232,0.0001,0.00648,0.005907,0.005426
2024-01-19,2024-03-29,0.1916,0.2591,7.5784,0.0446,0.0561,-0.0693,0.475,-0.2282,0.5251,0.003489,0.003487,0.003502
2024-01-19,2024-04-26,0.2683,0.0881,3.0194,0.579,0.8514,0.0307,0.4999,-0.0002,0.0991,0.00489,0.005185,0.004837
2024-01-19,2024-06-28,0.4408,0.3966,3.0002,0.0973,0.2999,0.2999,0.4999,-0.0001,0.0991,0.00233,0.002299,0.001873
2024-01-26,2024-04-26,0.2491,0.3991,7.999,0.0885,1.0148,0.0691,0.4999,-0.0002,0.0991,0.003851,0.003805,0.003834
2024-01-26,2024-06-28,0.4216,0.0953,2.9962,0.4828,1.0216,0.1279,0.4999,-0.0001,0.099,0.00265,0.00273,0.002782
2024-01-26,2024-03-29,0.1725,0.227,2.9959,0.2245,1.9848,-0.0421,0.4999,-0.0001,0.0992,0.002853,0.013766,0.002883
2024-01-26,2024-02-02,0.0192,0.0787,8.2252,1.3002,4.8355,-0.2564,0.4974,0.0845,0.1135,0.016286,0.019385,0.017434
2024-01-26,2024-02-16,0.0575,0.0441,7.9712,0.6158,1.3961,0.006,0.0941,-0.875,0.9717,0.002296,0.005691,0.0056
2024-01-26,2024-02-09,0.0383,0.056,7.9158,1.0257,5.0,-0.1868,0.4891,-0.1154,0.0001,0.014599,0.009852,0.009758
2024-01-26,2024-02-23,0.0767,0.0051,7.9049,0.7156,3.2637,0.0224,0.4876,-0.1191,0.0001,0.010832,0.009851,0.005208
2024-02-02,2024-02-09,0.0192,0.0234,8.0958,1.6787,4.251,-0.0678,0.1084,0.2565,0.0081,0.003985,0.007218,0.003873
2024-02-02,2024-02-16,0.0383,0.0535,7.9262,0.9165,5.0,0.0846,0.4782,-0.0811,0.0001,0.008893,0.006726,0.006585
2024-02-02,2024-02-23,0.0575,0.096,7.9332,0.5687,5.0,-0.0168,0.4922,-0.1126,0.0001,0.010966,0.007292,0.007347
2024-02-02,2024-03-29,0.1533,0.2282,2.9217,0.1968,2.0625,-0.0451,0.4999,-0.0001,0.0992,0.005014,0.004865,0.004925
2024-02-02,2024-04-26,0.23,0.3974,7.9975,0.0665,1.0474,0.2706,0.4999,-0.0002,0.0991,0.002356,0.002609,0.002329
2024-02-09,2024-02-16,0.0192,0.1763,7.9209,0.3288,4.472,0.2279,0.175,-0.3636,0.0542,0.013192,0.019478,0.019479
2024-02-09,2024-02-23,0.0383,0.0001,7.9998,1.4006,4.402,0.2003,0.1108,-0.2666,0.7469,0.01745,0.018838,0.018839
2024-02-09,2024-03-01,0.0575,0.0079,7.9336,1.0554,4.7,0.0713,0.4947,-0.0434,0.03,0.00472,0.003349,0.00332
2024-02-09,2024-03-29,0.1342,0.2649,7.9525,0.0416,4.8127,-0.1003,5.4864,0.1199,0.0009,0.009247,0.011828,0.011828
2024-02-09,2024-04-26,0.2108,0.4203,7.9955,0.0713,1.0725,0.4707,0.4999,-0.0001,0.0999,0.005579,0.00547,0.005457
2024-02-09,2024-06-28,0.3833,0.4226,2.9966,0.0908,1.0482,0.4386,0.4998,0.0,0.0985,0.007383,0.007354,0.00735
2024-02-16,2024-04-26,0.1916,0.3611,0.9958,0.0933,1.0583,0.4485,0.4999,-0.0001,0.0995,0.003072,0.002914,0.002657
2024-02-16,2024-03-29,0.115,0.2679,7.8956,0.0136,5.0,-0.1706,9.218,0.1277,0.0064,0.006885,0.009996,0.009996
2024-02-16,2024-06-28,0.3641,0.1146,7.9936,0.4791,1.0748,0.531,0.4999,-0.0001,0.0992,0.005669,0.00507,0.005049
2024-02-16,2024-03-01,0.0383,0.3302,7.9795,0.034,3.4967,0.1115,0.4962,-0.006,0.0673,0.006189,0.005626,0.008017
2024-02-16,2024-02-23,0.0192,0.2168,0.1,0.0001,5.0,0.4419,2.4677,-0.1914,0.0001,0.037267,0.040425,0.040426
2024-02-16,2024-03-08,0.0575,0.2517,8.0005,0.1482,1.0161,0.4296,0.5068,-0.1822,0.4517,0.002688,0.007097,0.007687
2024-02-23,2024-05-31,0.2683,0.3851,0.9997,0.0967,1.0117,0.3138,0.4997,0.0009,0.0983,0.002646,0.002613,0.002819
2024-02-23,2024-04-26,0.1725,0.4462,2.9815,0.0483,1.9849,0.0116,0.4999,-0.0001,0.0992,0.005222,0.005328,0.005328
2024-02-23,2024-03-29,0.0958,0.0263,7.9246,0.8625,4.053,-0.0087,0.5202,0.1831,0.0001,0.007233,0.006919,0.00692
2024-02-23,2024-06-28,0.345,0.1168,7.9946,0.4771,1.0822,0.5389,0.4999,-0.0001,0.0992,0.004683,0.004961,0.004926
2024-02-23,2024-03-08,0.0383,0.318,7.9092,0.0018,4.082,-0.0783,0.4997,-0.0021,0.098,0.009323,0.00838,0.005598
2024-02-23,2024-03-01,0.0192,0.0218,8.1205,2.6603,1.2883,-0.6966,0.6302,0.2294,0.0001,0.003021,0.009749,0.003082
2024-02-23,2024-03-15,0.0575,0.0119,7.9658,1.3303,5.0,-0.0525,0.4895,-0.0908,0.0001,0.006831,0.005933,0.004126
2024-03-01,2024-03-08,0.0192,0.4028,7.8984,0.0585,4.78,-0.0029,0.3614,0.3467,0.1284,0.015791,0.02027,0.010972
2024-03-01,2024-03-15,0.0383,0.4443,7.959,0.3064,4.0883,0.0894,0.4999,-0.0001,0.0994,0.00561,0.004909,0.005887
2024-03-01,2024-03-22,0.0575,0.435,2.9536,0.4233,3.3819,0.0198,0.4999,-0.0002,0.0994,0.004488,0.003723,0.003803
2024-03-01,2024-03-29,0.0767,0.4372,2.9467,0.3709,2.8555,0.1549,0.4999,0.0001,0.0994,0.012214,0.011941,0.011941
2024-03-01,2024-04-26,0.1533,0.4265,0.9466,0.4614,1.9166,0.1175,0.4999,-0.0001,0.0994,0.005064,0.004971,0.004987
2024-03-01,2024-05-31,0.2491,0.3829,2.9966,0.4826,1.0379,0.4002,0.4999,-0.0001,0.0992,0.004798,0.004669,0.004495
2024-03-01,2024-06-28,0.3258,0.5292,2.8972,0.3127,1.9028,0.0808,0.4999,-0.0,0.099,0.004704,0.004703,0.004708
2024-03-08,2024-05-31,0.23,0.433,7.9946,0.4883,1.1232,0.6565,0.4999,-0.0001,0.0991,0.008972,0.008851,0.008942
2024-03-08,2024-04-26,0.1342,0.9084,7.858,0.0042,4.0418,0.0528,0.4999,0.0007,0.0988,0.015719,0.015579,0.015579
2024-03-08,2024-06-28,0.3066,0.3988,8.0059,0.5398,0.0014,-0.316,0.4999,-0.0,0.0991,0.015313,0.009165,0.009165
2024-03-08,2024-03-22,0.0383,0.5419,7.9606,0.2475,4.1303,0.2096,0.4999,-0.0001,0.0994,0.017275,0.016946,0.016252
2024-03-08,2024-03-29,0.0575,0.2685,8.0415,0.5785,2.4554,0.999,4.1389,-0.2203,0.0001,0.036583,0.039605,0.036173
2024-03-15,2024-03-22,0.0192,0.5959,7.9896,0.0002,5.0,-0.2441,0.7517,-0.3211,0.5385,0.013502,0.016124,0.013376
2024-03-15,2024-04-05,0.0575,0.6896,7.966,0.1762,4.1322,-0.175,0.4999,-0.0002,0.0992,0.008476,0.008694,0.0081
2024-03-15,2024-04-26,0.115,0.9017,7.9538,0.0541,3.1653,-0.0255,0.4999,-0.0001,0.0991,0.012099,0.012311,0.012215
2024-03-15,2024-05-31,0.2108,0.7723,3.0012,0.089,1.0108,0.09,0.4999,-0.0001,0.0992,0.007667,0.007643,0.007483
2024-03-15,2024-06-28,0.2875,0.7951,7.9993,0.489,1.0115,0.0661,0.4999,-0.0001,0.0991,0.008516,0.004493,0.004493
2024-03-22,2024-05-31,0.1916,0.7273,3.0022,0.0768,1.014,0.3518,0.4999,-0.0001,0.0993,0.004252,0.004165,0.004221
2024-03-22,2024-04-12,0.0575,0.6605,7.8761,0.0696,4.6447,-0.1903,0.4999,-0.0002,0.0992,0.010998,0.010372,0.01943
2024-03-22,2024-04-26,0.0958,0.836,7.9483,0.0001,2.9758,0.0029,0.4999,-0.0002,0.099,0.005671,0.005685,0.005685
2024-03-22,2024-04-05,0.0383,0.5651,7.9489,0.2715,4.631,-0.1989,0.4999,-0.0008,0.099,0.008827,0.007576,0.007335
2024-03-29,2024-04-05,0.0192,0.3876,2.9815,0.4588,4.8769,-0.1961,0.0762,-0.3054,0.8677,0.018867,0.021049,0.018878
2024-03-29,2024-04-12,0.0383,0.4669,7.9676,0.3368,3.3084,-0.0194,0.4999,-0.0004,0.0998,0.010624,0.010178,0.010042
2024-03-29,2024-04-19,0.0575,0.5147,7.971,0.3568,2.5456,-0.0861,0.4999,-0.0001,0.0993,0.009288,0.011476,0.009175
2024-03-29,2024-04-26,0.0767,0.2273,8.1521,1.6545,5.0,-0.1306,0.4999,-0.0,0.099,0.00825,0.007578,0.007578
2024-03-29,2024-05-31,0.1725,0.6854,3.0169,0.1139,0.6697,0.3215,0.4999,-0.0001,0.0993,0.006461,0.006465,0.006467
2024-03-29,2024-06-28,0.2491,0.7844,3.0002,0.0903,0.3623,0.3556,0.4999,-0.0001,0.0992,0.007654,0.006844,0.006661
2024-04-05,2024-04-12,0.0192,0.4539,7.9004,0.0015,5.0,-0.2498,0.5136,0.0073,0.2806,0.017371,0.018252,0.018398
2024-04-05,2024-04-19,0.0383,0.5245,7.9569,0.3241,4.7041,-0.1071,0.4999,-0.001,0.0988,0.0091,0.007877,0.006057
2024-04-05,2024-04-26,0.0575,0.5594,7.9522,0.3073,3.2621,-0.011,0.4999,-0.0002,0.0993,0.006779,0.006442,0.00642
2024-04-05,2024-05-31,0.1533,0.8305,7.9986,0.1223,1.0004,0.3027,0.4999,-0.0001,0.0991,0.005592,0.005244,0.004146
2024-04-12,2024-06-28,0.2108,0.4537,8.0005,0.5574,0.2998,0.2999,0.4999,-0.0001,0.0991,0.009618,0.005729,0.005729
2024-04-12,2024-05-31,0.1342,0.4154,7.9998,0.5334,0.0483,-0.0253,0.4999,-0.0002,0.0993,0.013767,0.007298,0.007584
2024-04-12,2024-09-27,0.46,0.7887,8.0001,0.4675,1.0038,0.2099,0.4999,-0.0001,0.0992,0.005649,0.005302,0.005304
2024-04-12,2024-04-26,0.0383,0.4787,7.9483,0.2044,4.4097,-0.0075,0.4999,0.0001,0.0989,0.010938,0.010471,0.010471
2024-04-12,2024-04-19,0.0192,0.1334,8.0423,2.0314,0.2886,0.892,6.1762,-0.0241,0.1489,0.012224,0.013835,0.013585
2024-04-12,2024-05-03,0.0575,0.4932,7.9521,0.256,3.2987,-0.1221,0.4999,-0.0004,0.0992,0.006255,0.006523,0.006523
2024-04-19,2024-06-28,0.1916,0.8329,7.9983,0.1314,0.3006,0.3007,0.4999,-0.0001,0.0991,0.009832,0.005723,0.005408
2024-04-19,2024-05-31,0.115,0.7302,7.8596,0.1421,3.346,-0.0647,0.4999,-0.0002,0.099,0.006472,0.006431,0.00651
2024-04-19,2024-09-27,0.4408,0.8376,2.9962,0.1325,0.2726,0.2694,0.4999,-0.0001,0.0991,0.003479,0.003229,0.003125
2024-04-19,2024-05-03,0.0383,0.6071,7.9526,0.2917,4.7359,-0.1987,0.4999,-0.0005,0.0988,0.010646,0.01036,0.010251
2024-04-19,2024-04-26,0.0192,0.5693,7.9508,0.0001,5.0,-0.1305,0.6194,-0.2071,0.4338,0.009909,0.010941,0.009857
2024-04-19,2024-05-10,0.0575,0.6181,7.9333,0.1961,4.293,-0.1107,0.4999,-0.0001,0.0992,0.008841,0.015423,0.009076
2024-04-26,2024-05-03,0.0192,0.1759,7.9944,0.0012,2.3619,0.6032,2.0173,-0.3248,0.3046,0.00622,0.008806,0.007473
2024-04-26,2024-05-10,0.0383,0.3475,8.0498,0.0012,4.8225,-0.1444,0.4998,-0.0018,0.0981,0.007148,0.006361,0.006252
2024-04-26,2024-05-17,0.0575,0.3283,7.9324,0.1067,2.862,0.0241,0.4945,-0.0426,0.0492,0.008079,0.007546,0.006679
2024-04-26,2024-05-31,0.0958,0.3888,2.9328,0.0107,2.6722,-0.1584,0.4999,-0.0011,0.0992,0.008184,0.008618,0.008028
2024-04-26,2024-06-28,0.1725,0.3174,3.0014,0.081,0.3355,0.0322,0.5204,-0.1433,0.4785,0.006143,0.007371,0.006004
2024-04-26,2024-07-26,0.2491,0.3935,1.0008,0.1004,0.2628,0.2629,0.4999,-0.0001,0.0994,0.008858,0.008455,0.008782
2024-05-03,2024-06-28,0.1533,0.4194,2.9393,0.0001,2.2551,0.0486,0.4999,-0.0,0.0992,0.004788,0.005145,0.004739
2024-05-03,2024-09-27,0.4025,0.3879,0.9993,0.0948,0.3518,0.3464,0.4999,-0.0001,0.0993,0.004198,0.004129,0.003915
2024-05-03,2024-05-31,0.0767,0.2111,7.9388,0.6877,5.0,-0.0621,0.4927,-0.1446,0.0001,0.004784,0.0038,0.003215
2024-05-03,2024-07-26,0.23,0.3932,2.9986,0.0908,1.0259,0.1084,0.4999,-0.0001,0.0992,0.004791,0.004877,0.004889
2024-05-03,2024-05-17,0.0383,0.1608,7.9012,1.1934,5.0,0.0487,0.4999,-0.0002,0.0993,0.006192,0.004904,0.007388
2024-05-03,2024-05-10,0.0192,0.2561,8.0,0.4875,4.2438,-0.2452,0.3842,0.2042,0.071,0.008355,0.008737,0.008236
2024-05-03,2024-05-24,0.0575,0.141,7.9477,0.9973,4.9829,-0.0392,0.4949,-0.1323,0.0001,0.006299,0.005921,0.00425
2024-05-10,2024-05-17,0.0192,0.1554,7.9953,1.2233,3.8683,-0.426,0.3684,0.2042,0.0558,0.011678,0.014523,0.011905
2024-05-10,2024-05-24,0.0383,0.0001,8.2735,1.6596,4.5679,-0.2956,0.9134,0.0546,0.1416,0.006537,0.00665,0.005689
2024-05-10,2024-05-31,0.0575,0.333,7.9293,0.0397,3.7403,-0.1831,0.4998,0.1623,0.0159,0.010842,0.011078,0.011078
2024-05-10,2024-06-28,0.1342,0.5147,7.9501,0.0001,2.5874,-0.104,0.4999,-0.0001,0.0986,0.005313,0.005805,0.005806
2024-05-10,2024-07-26,0.2108,0.0968,7.9988,0.4842,1.0176,0.3351,0.4999,-0.0002,0.0991,0.005796,0.005735,0.005735
2024-05-10,2024-09-27,0.3833,0.4003,0.9794,0.0761,0.8685,0.0075,0.5029,-0.0132,0.1953,0.001682,0.001952,0.001708
2024-05-17,2024-07-26,0.1916,0.4076,0.9652,0.0582,1.603,0.097,0.4999,-0.0001,0.0994,0.006245,0.0077,0.006284
2024-05-17,2024-06-28,0.115,0.0113,2.8709,1.5246,4.5758,-0.2092,4.6102,0.1584,0.0001,0.004299,0.005789,0.005789
2024-05-17,2024-06-07,0.0575,0.3637,7.9659,0.014,3.5919,0.0206,0.4999,-0.0004,0.0991,0.007511,0.007289,0.007438
2024-05-17,2024-05-24,0.0192,0.243,7.9531,0.0001,5.0,-0.2788,1.3607,0.1142,0.0869,0.012154,0.014943,0.014942
2024-05-17,2024-05-31,0.0383,0.2255,7.9592,0.6376,5.0,0.0908,0.4886,-0.1206,0.0001,0.006448,0.00607,0.006766
2024-05-24,2024-05-31,0.0192,0.1172,7.9901,1.14,3.875,0.2335,0.114,-1.1342,1.0565,0.013092,0.014823,0.014823
2024-05-24,2024-06-07,0.0383,0.0717,8.005,1.2494,5.0,-0.0838,0.4802,-0.1178,0.001,0.014911,0.013039,0.013011
2024-05-24,2024-06-14,0.0575,0.2501,7.9634,0.2442,2.6661,-0.0056,0.4998,-0.002,0.098,0.009198,0.008416,0.008414
2024-05-24,2024-06-28,0.0958,0.3517,7.9996,0.0669,1.041,0.3227,0.4999,-0.0001,0.0993,0.003051,0.003093,0.00302
2024-05-24,2024-07-26,0.1725,0.3776,2.9972,0.0814,1.0669,0.3137,0.4999,-0.0001,0.0993,0.006423,0.006445,0.006463
2024-05-24,2024-09-27,0.345,0.1052,8.0002,0.5102,0.9999,0.3,0.4999,-0.0001,0.0992,0.004769,0.004028,0.003805
2024-05-31,2024-07-26,0.1533,0.3446,7.9991,0.0512,0.447,0.1448,0.5202,-0.1606,0.4887,0.003363,0.003397,0.003383
2024-05-31,2024-08-30,0.2491,0.0927,7.9998,0.4904,1.0,0.2994,0.4999,-0.0001,0.0991,0.003489,0.003353,0.003353
2024-05-31,2024-06-28,0.0767,0.3411,7.9834,0.0365,2.3886,-0.0746,0.4987,0.0228,0.0627,0.00488,0.004343,0.004343
2024-05-31,2024-09-27,0.3258,0.3921,0.9994,0.0966,0.3495,0.3442,0.4999,-0.0001,0.0994,0.003057,0.003189,0.003081
2024-05-31,2024-06-14,0.0383,0.0116,7.9541,1.5855,4.5635,-0.0869,0.4934,-0.0199,0.043,0.007882,0.00645,0.005098
2024-05-31,2024-06-21,0.0575,0.2299,7.9931,0.2577,2.4717,-0.0789,0.4998,-0.0029,0.0964,0.003913,0.003605,0.003958
2024-05-31,2024-06-07,0.0192,0.0768,8.1067,1.5989,4.7012,-0.1886,0.2132,-0.0237,0.2156,0.011107,0.014506,0.009901
2024-06-07,2024-06-14,0.0192,0.1047,7.9615,1.2868,1.8743,0.3286,0.615,0.1019,0.1017,0.008496,0.010793,0.008271
2024-06-07,2024-06-21,0.0383,0.0001,8.0894,1.537,1.3636,0.3277,0.0772,0.2938,0.1063,0.009337,0.010317,0.010306
2024-06-07,2024-06-28,0.0575,0.0688,8.0402,0.5043,4.0206,-0.4807,6.22,0.1345,0.0001,0.011775,0.017292,0.017292
2024-06-07,2024-07-26,0.1342,0.413,7.9884,0.0101,1.3824,0.2318,0.5002,-0.1161,0.2879,0.005291,0.005188,0.005147
2024-06-07,2024-08-30,0.23,0.3995,3.001,0.1069,0.9793,0.228,0.4999,-0.0001,0.0992,0.004152,0.004107,0.002941
2024-06-07,2024-09-27,0.3066,0.0944,7.9998,0.4905,1.0003,0.3,0.4999,-0.0001,0.0991,0.006869,0.005237,0.005237
2024-06-14,2024-07-26,0.115,0.1094,7.9996,0.4197,1.1556,0.6138,0.4999,-0.0002,0.0993,0.007236,0.006973,0.006974
2024-06-14,2024-09-27,0.2875,0.4076,2.9973,0.088,0.4531,0.4318,0.4999,-0.0001,0.0992,0.004325,0.00385,0.003842
2024-06-14,2024-08-30,0.2108,0.0755,7.9987,0.4513,1.0355,0.4176,0.4999,-0.0001,0.0991,0.003929,0.003582,0.003541
2024-06-14,2024-07-05,0.0575,0.2188,7.9562,0.185,2.7795,-0.0256,0.4998,-0.0024,0.0973,0.004662,0.003429,0.00577
2024-06-14,2024-06-28,0.0383,0.1283,5.7409,0.0001,5.0,-0.462,20.0,0.072,0.0001,0.01397,0.015493,0.015493
2024-06-14,2024-06-21,0.0192,0.0544,8.0868,1.5842,4.3952,-0.0755,0.21,0.2502,0.0001,0.009146,0.010978,0.013275
2024-06-21,2024-07-05,0.0383,0.0324,7.9156,1.2309,4.465,-0.2389,0.0314,0.6567,0.036,0.004189,0.007126,0.003121
2024-06-21,2024-07-12,0.0575,0.0128,7.5944,1.0736,4.2372,-0.0793,0.4999,-0.0003,0.0991,0.004492,0.004077,0.004214
2024-06-21,2024-07-26,0.0958,0.0111,7.9476,0.8027,3.9984,-0.1027,0.4999,-0.0003,0.0989,0.003126,0.002824,0.006631
2024-06-21,2024-08-30,0.1916,0.4144,7.9986,0.0998,1.0252,0.3436,0.4999,-0.0002,0.0991,0.004484,0.004311,0.003412
2024-06-21,2024-09-27,0.2683,0.4421,3.0047,0.0576,1.4142,0.1118,0.4999,-0.0001,0.0991,0.002858,0.002838,0.002834
2024-06-28,2024-08-30,0.1725,0.3863,7.9967,0.0539,1.0654,0.2598,0.4999,-0.0002,0.0991,0.004957,0.004684,0.005106
2024-06-28,2024-09-27,0.2491,0.4608,2.9241,0.0001,2.0186,-0.1039,0.4999,-0.0001,0.0988,0.006671,0.006773,0.006774
2024-06-28,2024-07-26,0.0767,0.2875,7.9161,0.0005,2.5838,-0.1256,0.4999,-0.0011,0.0979,0.00457,0.005512,0.004018
2024-06-28,2024-07-12,0.0383,0.0001,7.9509,1.3137,4.8916,-0.1824,0.4993,-0.004,0.0921,0.0083,0.007604,0.004401
2024-06-28,2024-07-05,0.0192,0.1353,7.9841,0.2799,1.7278,-0.1856,0.9981,-0.0183,0.1429,0.009124,0.01422,0.009454
2024-06-28,2024-07-19,0.0575,0.1942,7.9633,0.149,2.4354,-0.0787,0.4996,-0.0044,0.0951,0.00737,0.006832,0.006852
2024-07-05,2024-07-12,0.0192,0.0255,7.0948,2.2489,5.0,0.9798,19.1529,-0.0853,0.0561,0.029738,0.031475,0.029169
2024-07-05,2024-07-19,0.0383,0.0031,8.0543,1.8326,4.1,-0.5184,0.7383,0.2405,0.0001,0.018933,0.019542,0.02152
2024-07-05,2024-07-26,0.0575,0.3393,7.9474,0.0067,2.7455,-0.1165,0.4999,-0.0016,0.0977,0.016312,0.016415,0.016333
2024-07-05,2024-08-30,0.1533,0.0107,8.009,0.556,0.8371,0.0321,0.4999,-0.0002,0.0991,0.007829,0.007809,0.007837
2024-07-05,2024-09-27,0.23,0.363,3.0002,0.0819,1.0134,0.0614,0.4999,-0.0001,0.0992,0.010753,0.010647,0.010648
2024-07-05,2024-12-27,0.4791,0.4126,0.9977,0.1008,0.3439,0.3308,0.4999,-0.0001,0.0993,0.005476,0.004634,0.004629
2024-07-12,2024-12-27,0.46,0.388,0.9982,0.0923,0.4544,0.3977,0.4999,-0.0001,0.0993,0.002685,0.002575,0.002582
2024-07-12,2024-09-27,0.2108,0.4056,7.9949,0.0512,0.5848,0.4143,0.5074,-0.0523,0.2663,0.002585,0.003533,0.002577
2024-07-12,2024-08-30,0.1342,0.0356,8.0207,0.505,0.9511,0.1612,0.4999,-0.0002,0.0991,0.004198,0.004166,0.004168
2024-07-12,2024-07-26,0.0383,0.0107,8.0694,1.5071,3.9808,-0.4235,0.3538,0.201,0.0608,0.008998,0.009691,0.009653
2024-07-12,2024-07-19,0.0192,0.051,8.2108,2.1561,3.7918,-0.4602,0.1741,0.255,0.0001,0.010701,0.017653,0.010678
2024-07-12,2024-08-02,0.0575,0.146,7.9872,0.369,1.4858,-0.192,0.5064,-0.1388,0.2635,0.004765,0.005002,0.005165
2024-07-19,2024-07-26,0.0192,0.2852,7.9971,0.2184,4.5973,0.3544,0.2537,-0.0801,0.4144,0.012942,0.01323,0.0135
2024-07-19,2024-08-02,0.0383,0.1451,8.0077,1.6836,4.9601,0.3603,0.4909,-0.0761,0.0057,0.012698,0.011663,0.011808
2024-07-19,2024-08-09,0.0575,0.404,7.8886,0.1226,3.2612,0.2234,0.4981,-0.015,0.0534,0.010851,0.010425,0.010232
2024-07-19,2024-08-30,0.115,0.407,2.9743,0.0188,1.8061,0.1936,0.4999,0.0002,0.0993,0.009473,0.009445,0.009445
2024-07-19,2024-09-27,0.1916,0.4202,0.9426,0.0455,2.1062,0.1825,0.4999,-0.0001,0.0989,0.005478,0.005213,0.005004
2024-07-19,2024-11-08,0.3066,0.3699,0.9909,0.4885,1.0632,0.4367,0.4999,-0.0001,0.0994,0.002751,0.002746,0.002755
2024-07-19,2024-12-27,0.4408,0.4733,0.8859,0.4248,1.6904,0.1756,0.4999,0.0001,0.0988,0.003512,0.003418,0.003402
2024-07-26,2024-10-25,0.2491,0.4118,1.0005,0.1029,0.9864,0.2741,0.4999,-0.0001,0.0994,0.002413,0.002425,0.002396
